*************************************************************
nodes=1 THIN start_size=2048 Imax=65535 xL=-3 yL=-3 xR=3 yR=3
*************************************************************
cores=12 | nx=2048 | ny=2048 | 65.491
cores=12 | nx=2048 | ny=2046 | 58.648
cores=12 | nx=2048 | ny=2044 | 61.510
cores=12 | nx=2048 | ny=2042 | 57.252
cores=12 | nx=2048 | ny=2040 | 62.256
cores=12 | nx=2048 | ny=2038 | 59.880
cores=12 | nx=2048 | ny=2036 | 59.969
cores=12 | nx=2048 | ny=2034 | 62.139
cores=12 | nx=2048 | ny=2032 | 61.207
cores=12 | nx=2048 | ny=2030 | 61.449
cores=12 | nx=2048 | ny=2028 | 53.008
cores=12 | nx=2048 | ny=2026 | 61.984
cores=12 | nx=2048 | ny=2024 | 60.504
cores=12 | nx=2048 | ny=2022 | 60.532
cores=12 | nx=2048 | ny=2020 | 62.054
cores=12 | nx=2048 | ny=2018 | 60.326
cores=12 | nx=2048 | ny=2016 | 59.844
cores=12 | nx=2048 | ny=2014 | 60.347
cores=12 | nx=2048 | ny=2012 | 60.176
cores=12 | nx=2048 | ny=2010 | 61.011
cores=12 | nx=2048 | ny=2008 | 59.947
cores=12 | nx=2048 | ny=2006 | 60.105
cores=12 | nx=2048 | ny=2004 | 60.592
cores=12 | nx=2048 | ny=2002 | 58.340
cores=12 | nx=2048 | ny=2000 | 60.681
cores=12 | nx=2048 | ny=1998 | 58.912
cores=12 | nx=2048 | ny=1996 | 60.014
cores=12 | nx=2048 | ny=1994 | 60.430
cores=12 | nx=2048 | ny=1992 | 59.529
cores=12 | nx=2048 | ny=1990 | 54.187
cores=12 | nx=2048 | ny=1988 | 59.652
cores=12 | nx=2048 | ny=1986 | 59.940
cores=12 | nx=2048 | ny=1984 | 58.079
cores=12 | nx=2048 | ny=1982 | 60.188
cores=12 | nx=2048 | ny=1980 | 59.427
cores=12 | nx=2048 | ny=1978 | 59.710
cores=12 | nx=2048 | ny=1976 | 56.587
cores=12 | nx=2048 | ny=1974 | 58.125
cores=12 | nx=2048 | ny=1972 | 58.917
cores=12 | nx=2048 | ny=1970 | 58.552
cores=12 | nx=2048 | ny=1968 | 59.558
cores=12 | nx=2048 | ny=1966 | 56.848
cores=12 | nx=2048 | ny=1964 | 57.486
cores=12 | nx=2048 | ny=1962 | 56.199
cores=12 | nx=2048 | ny=1960 | 56.603
cores=12 | nx=2048 | ny=1958 | 57.226
cores=12 | nx=2048 | ny=1956 | 59.370
cores=12 | nx=2048 | ny=1954 | 58.700
cores=12 | nx=2048 | ny=1952 | 56.828
cores=12 | nx=2048 | ny=1950 | 58.033
cores=12 | nx=2048 | ny=1948 | 51.737
cores=12 | nx=2048 | ny=1946 | 57.568
cores=12 | nx=2048 | ny=1944 | 57.067
cores=12 | nx=2048 | ny=1942 | 57.443
cores=12 | nx=2048 | ny=1940 | 59.011
cores=12 | nx=2048 | ny=1938 | 59.274
cores=12 | nx=2048 | ny=1936 | 58.748
cores=12 | nx=2048 | ny=1934 | 58.582
cores=12 | nx=2048 | ny=1932 | 58.629
cores=12 | nx=2048 | ny=1930 | 58.394
cores=12 | nx=2048 | ny=1928 | 53.420
cores=12 | nx=2048 | ny=1926 | 58.630
cores=12 | nx=2048 | ny=1924 | 55.866
cores=12 | nx=2048 | ny=1922 | 57.841
cores=12 | nx=2048 | ny=1920 | 53.579
cores=12 | nx=2048 | ny=1918 | 55.973
cores=12 | nx=2048 | ny=1916 | 58.962
cores=12 | nx=2048 | ny=1914 | 57.226
cores=12 | nx=2048 | ny=1912 | 54.267
cores=12 | nx=2048 | ny=1910 | 57.948
cores=12 | nx=2048 | ny=1908 | 57.435
cores=12 | nx=2048 | ny=1906 | 57.226
cores=12 | nx=2048 | ny=1904 | 58.033
cores=12 | nx=2048 | ny=1902 | 57.044
cores=12 | nx=2048 | ny=1900 | 57.847
cores=12 | nx=2048 | ny=1898 | 58.469
cores=12 | nx=2048 | ny=1896 | 57.562
cores=12 | nx=2048 | ny=1894 | 57.163
cores=12 | nx=2048 | ny=1892 | 57.528
cores=12 | nx=2048 | ny=1890 | 56.958
cores=12 | nx=2048 | ny=1888 | 57.909
cores=12 | nx=2048 | ny=1886 | 56.299
cores=12 | nx=2048 | ny=1884 | 56.944
cores=12 | nx=2048 | ny=1882 | 58.049
cores=12 | nx=2048 | ny=1880 | 55.346
cores=12 | nx=2048 | ny=1878 | 57.259
cores=12 | nx=2048 | ny=1876 | 55.769
cores=12 | nx=2048 | ny=1874 | 56.646
cores=12 | nx=2048 | ny=1872 | 56.342
cores=12 | nx=2048 | ny=1870 | 56.403
cores=12 | nx=2048 | ny=1868 | 57.150
cores=12 | nx=2048 | ny=1866 | 55.615
cores=12 | nx=2048 | ny=1864 | 56.855
cores=12 | nx=2048 | ny=1862 | 53.502
cores=12 | nx=2048 | ny=1860 | 56.278
cores=12 | nx=2048 | ny=1858 | 56.263
cores=12 | nx=2048 | ny=1856 | 53.405
cores=12 | nx=2048 | ny=1854 | 55.293
cores=12 | nx=2048 | ny=1852 | 55.859
cores=12 | nx=2048 | ny=1850 | 52.380
cores=12 | nx=2048 | ny=1848 | 56.837
cores=12 | nx=2048 | ny=1846 | 56.331
cores=12 | nx=2048 | ny=1844 | 55.663
cores=12 | nx=2048 | ny=1842 | 55.561
cores=12 | nx=2048 | ny=1840 | 49.280
cores=12 | nx=2048 | ny=1838 | 54.853
cores=12 | nx=2048 | ny=1836 | 50.013
cores=12 | nx=2048 | ny=1834 | 55.847
cores=12 | nx=2048 | ny=1832 | 55.224
cores=12 | nx=2048 | ny=1830 | 54.158
cores=12 | nx=2048 | ny=1828 | 55.788
cores=12 | nx=2048 | ny=1826 | 55.282
cores=12 | nx=2048 | ny=1824 | 55.305
cores=12 | nx=2048 | ny=1822 | 55.108
